"date","hits","keyword","geo","time","gprop","category"
2019-12-29,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-01-05,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-01-12,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-01-19,6,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-01-26,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-02-02,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-02-09,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-02-16,6,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-02-23,6,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-03-01,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-03-08,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-03-15,11,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-03-22,12,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-03-29,10,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-04-05,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-04-12,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-04-19,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-04-26,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-05-03,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-05-10,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-05-17,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-05-24,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-05-31,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-06-07,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-06-14,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-06-21,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-06-28,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-07-05,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-07-12,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-07-19,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-07-26,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-08-02,10,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-08-09,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-08-16,10,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-08-23,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-08-30,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-09-06,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-09-13,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-09-20,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-09-27,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-10-04,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-10-11,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-10-18,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-10-25,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-11-01,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-11-08,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-11-15,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-11-22,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-11-29,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-12-06,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-12-13,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-12-20,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2020-12-27,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-01-03,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-01-10,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-01-17,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-01-24,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-01-31,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-02-07,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-02-14,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-02-21,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-02-28,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-03-07,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-03-14,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-03-21,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-03-28,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-04-04,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-04-11,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-04-18,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-04-25,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-05-02,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-05-09,16,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-05-16,12,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-05-23,11,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-05-30,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-06-06,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-06-13,10,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-06-20,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-06-27,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-07-04,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-07-11,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-07-18,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-07-25,10,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-08-01,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-08-08,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-08-15,10,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-08-22,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-08-29,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-09-05,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-09-12,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-09-19,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-09-26,10,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-10-03,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-10-10,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-10-17,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-10-24,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-10-31,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-11-07,11,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-11-14,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-11-21,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-11-28,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-12-05,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-12-12,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-12-19,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2021-12-26,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-01-02,10,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-01-09,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-01-16,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-01-23,10,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-01-30,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-02-06,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-02-13,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-02-20,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-02-27,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-03-06,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-03-13,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-03-20,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-03-27,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-04-03,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-04-10,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-04-17,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-04-24,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-05-01,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-05-08,9,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-05-15,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-05-22,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-05-29,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-06-05,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-06-12,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-06-19,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-06-26,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-07-03,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-07-10,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-07-17,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-07-24,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-07-31,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-08-07,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-08-14,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-08-21,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-08-28,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-09-04,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-09-11,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-09-18,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-09-25,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-10-02,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-10-09,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-10-16,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-10-23,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-10-30,6,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-11-06,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-11-13,6,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-11-20,5,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-11-27,6,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-12-04,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-12-11,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-12-18,6,"broadband internet","US","2020-01-01 2024-12-01","web",0
2022-12-25,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-01-01,6,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-01-08,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-01-15,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-01-22,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-01-29,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-02-05,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-02-12,6,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-02-19,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-02-26,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-03-05,6,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-03-12,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-03-19,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-03-26,6,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-04-02,6,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-04-09,6,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-04-16,6,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-04-23,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-04-30,6,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-05-07,6,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-05-14,6,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-05-21,6,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-05-28,6,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-06-04,6,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-06-11,6,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-06-18,6,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-06-25,8,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-07-02,6,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-07-09,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-07-16,6,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-07-23,6,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-07-30,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
2023-08-06,7,"broadband internet","US","2020-01-01 2024-12-01","web",0
