"date","hits","keyword","geo","time","gprop","category"
2016-06-19,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2016-06-26,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2016-07-03,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2016-07-10,9,"broadband internet","US","2015-01-01 2019-12-31","web",0
2016-07-17,9,"broadband internet","US","2015-01-01 2019-12-31","web",0
2016-07-24,9,"broadband internet","US","2015-01-01 2019-12-31","web",0
2016-07-31,9,"broadband internet","US","2015-01-01 2019-12-31","web",0
2016-08-07,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2016-08-14,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2016-08-21,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2016-08-28,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2016-09-04,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2016-09-11,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2016-09-18,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2016-09-25,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2016-10-02,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2016-10-09,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2016-10-16,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2016-10-23,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2016-10-30,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2016-11-06,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2016-11-13,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2016-11-20,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2016-11-27,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2016-12-04,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2016-12-11,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2016-12-18,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2016-12-25,9,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-01-01,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-01-08,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-01-15,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-01-22,9,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-01-29,9,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-02-05,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-02-12,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-02-19,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-02-26,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-03-05,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-03-12,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-03-19,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-03-26,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-04-02,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-04-09,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-04-16,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-04-23,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
